,foundation,test_r2,train_r2,alpha,l1_ratio
83,Authority,0.10921671081711248,0.11280851399200786,7.630417022143084e-05,0.99
84,Purity,0.18206303617970765,0.2194189104233144,1.0349372910657766e-05,0.99
85,Care,0.06094549988889464,0.08332473958436859,8.009760218989611e-05,0.99
86,Fairness,0.03849212159250093,0.05710315645882835,4.237782224829227e-05,0.99
87,Loyalty,0.14485850021274682,0.18939083580225946,1.053021214503066e-05,0.9
88,Authority,0.07219720452891887,0.12379711964544704,2.82886010291965e-05,0.9
89,Purity,0.18078110848662765,0.20969196343067154,1.0831905354139487e-05,0.9
90,Care,0.07835355598450322,0.0815710995485831,4.12205375100448e-05,0.3
91,Fairness,0.03382001796432066,0.06299471640637133,2.8921079367377416e-05,0.99
92,Loyalty,0.11667432994345983,0.20128528401853818,2.3706957515413962e-05,0.99
93,Authority,0.031935217219567824,0.14506129116505595,5.429216416325823e-05,0.99
94,Purity,0.08591662858971838,0.23338544183445464,1.0769842161990335e-05,0.9
95,Care,0.07589916588852097,0.08600137037560629,4.5183004784721506e-05,0.7
96,Fairness,0.02557011362544548,0.06068855846492971,4.0655181583936116e-05,0.99
97,Loyalty,0.15982648906260533,0.19410455088328527,9.59775024340943e-06,0.9
98,Authority,0.09099204638417058,0.13447168676503052,1.3371897086106186e-05,0.5
99,Purity,0.20455232349239716,0.20869021916655417,1.1147876778692902e-05,0.9
100,Care,0.08512015130909412,0.08167745787059855,6.733424553020678e-05,0.99
101,Fairness,0.024825314834537315,0.0665480715518112,1.6953818427659674e-05,0.9
102,Loyalty,0.07956468304827724,0.2127244181116803,1.3100671369052047e-05,0.99
103,Authority,0.0007881869883276105,0.1493191064379713,3.57317402651604e-05,0.99
104,Purity,0.11132371586338541,0.2277857618149981,1.9670847777376027e-05,0.99
105,Care,0.04889677245545854,0.09088995298010072,2.82449325189742e-05,0.3
106,Fairness,0.028556356388790505,0.05859613986281653,4.5920331313550746e-05,0.99
107,Loyalty,0.20396622222680771,0.17722262921777976,2.477753338454594e-05,0.99
108,Authority,0.12608351539694795,0.12911528635929959,2.8517650323215192e-05,0.99
109,Purity,0.2238776843809419,0.203396733909032,1.06957435939468e-05,0.9
110,Care,0.08312604159292725,0.08429836552312664,2.9251613802506534e-05,0.3
111,Fairness,0.026884868503202708,0.07153557783135289,5.157727146755596e-06,0.5
112,Loyalty,0.09789607912407472,0.21059859913877044,1.2949351010286095e-05,0.99
113,Authority,0.07571037841693495,0.15444667989142669,7.205015072884715e-06,0.99
114,Purity,0.15360547421388016,0.2262720143828496,1.5432528556301707e-05,0.99
115,Care,0.038298852270298056,0.10282067127427574,3.755336077090826e-05,0.99
116,Fairness,0.025999270269812524,0.06198698853656548,3.6791349940062944e-05,0.99
117,Loyalty,0.1942177417898382,0.18460882879844898,9.486039214189501e-06,0.9
118,Authority,0.12318574891167666,0.11778729780264052,4.54775775192967e-05,0.9
119,Purity,0.19376174091298537,0.20836892190353606,1.4593286299487392e-05,0.9
120,Care,0.006325252370135481,0.106928513180237,3.530288458883871e-05,0.7
121,Fairness,0.03654477752858265,0.06145645515927045,3.6511904501252796e-05,0.99
122,Loyalty,0.14104593321176917,0.20315435382331037,9.056853787010774e-06,0.99
123,Authority,0.0907428829259912,0.15071050591190382,5.933400556182749e-06,0.99
124,Purity,0.14065772936866716,0.22940840494560932,1.061107845542424e-05,0.99
125,Care,0.03687309252048654,0.10031830126013419,5.125535342354994e-05,0.99
126,Fairness,0.02893059494531025,0.05499794175546047,5.152608546215263e-05,0.99
127,Loyalty,0.1811557875765002,0.16748829283640787,4.6282785642546985e-05,0.99
128,Authority,0.12370356495383128,0.12769345763570228,3.672277303797989e-05,0.99
129,Purity,0.19499777047871525,0.21517596194918964,1.1286610011740045e-05,0.99
130,Care,0.039007092068296334,0.09424827507666511,6.734614076856388e-05,0.99
131,Fairness,0.024340489081856487,0.05861825989201397,3.225292675883178e-05,0.9
132,Loyalty,0.07495074795057999,0.20369843660508113,1.7665879916824666e-05,0.99
133,Authority,0.060373568461630556,0.1330407384222776,4.6987617739481715e-05,0.99
134,Purity,0.1271168090572471,0.21924109635937417,1.087174897471258e-05,0.9
135,Care,0.05192046549043938,0.09127066461513866,2.80165703895026e-05,0.3
136,Fairness,0.020926431885612162,0.07224932003002649,2.281783847917542e-05,0.99
137,Loyalty,0.17031216075484545,0.19003689849316163,8.830282132363502e-06,0.9
138,Authority,0.12409345272463534,0.1040069952865218,9.157303875557594e-05,0.99
139,Purity,0.19969218173718328,0.21039258923630788,1.0285531605830893e-05,0.9
140,Care,0.053405561868266616,0.0897821229865402,2.5796662357712143e-05,0.3
141,Fairness,0.0021131103122192796,0.0656192461347872,3.9165811968805325e-05,0.99
142,Loyalty,0.13024372484838231,0.20549726796345702,1.3374362059609396e-05,0.99
143,Authority,0.06677607337424807,0.13828817712824737,2.6820945618053727e-05,0.9
144,Purity,0.13906111025668833,0.21798450877317677,3.591619863980432e-05,0.99
145,Care,0.08821061578808764,0.0844146658413858,6.393115194976766e-05,0.99
146,Fairness,0.04737296301922933,0.0559255933792242,3.568814551902374e-05,0.99
147,Loyalty,0.1183561914769844,0.20837731126847414,8.747501011175587e-06,0.99
148,Authority,0.030871734826826036,0.15278282751312566,1.1114747630570407e-05,0.7
149,Purity,0.13510308007833371,0.22365511821084127,1.2374508874448925e-05,0.9
150,Care,0.027730292756046437,0.09304017502801587,5.065801409933519e-05,0.1
151,Fairness,-0.040171416788582937,0.08878625376696381,1.1538188848003296e-05,0.99
152,Loyalty,0.1414331803864468,0.18845951439414377,9.222975610761934e-06,0.9
153,Authority,0.04778797395286305,0.13277788227902387,1.4364045784475668e-05,0.5
154,Purity,0.1546209647010207,0.22012043932073655,1.1392696940849137e-05,0.9
155,Care,0.0662005888821362,0.0939199963102525,2.7439679048153223e-05,0.7
156,Fairness,0.025054540876252585,0.05481401044245171,4.273592747070899e-05,0.99
157,Loyalty,0.14812927538016785,0.1933279037081035,2.0713509097375875e-05,0.99
158,Authority,0.08576632331946754,0.11699122817018293,4.2713606972121025e-05,0.5
159,Purity,0.15145030513669122,0.2262338834805081,9.969933479052468e-06,0.99
160,Care,0.05383127179382352,0.09743563390149979,4.580119601180532e-05,0.99
161,Fairness,0.019031189827483308,0.06451876668381817,3.896089207985554e-05,0.99
